Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),FAR Benign->Attack,Experiment,Seed,Poison_Ratio,Rounds,Variant,Training Time (s)
DyF-ZTL_min_safety_threshold=0.2,96.38,96.13,85.08,89.72,0.63,4.8,sensitivity,0,0.4,20,min_safety_threshold=0.2,846.26
FedAvg,90.21,80.3,71.76,73.81,2.03,9.85,robust,1,0.4,20,,656.21
FedAvg,86.23,93.62,73.81,81.02,2.22,18.83,robust,2,0.4,20,,676.49
FedAvg,90.21,80.3,71.76,73.81,2.03,9.85,robust,1,0.4,20,,669.39
DyF-ZTL_min_safety_threshold=0.6,96.02,93.77,83.55,88.05,0.76,4.94,sensitivity,0,0.4,20,min_safety_threshold=0.6,897.12
DyF-ZTL,97.25,96.35,89.11,91.92,0.56,3.29,main,6,0.0,100,,4371.77
FedProx,88.96,85.64,70.28,75.06,1.97,10.79,robust,1,0.4,20,,1078.28
FedProx,93.37,91.15,77.04,82.15,1.17,6.62,robust,2,0.4,20,,1102.1
FedProx,88.96,85.64,70.28,75.06,1.97,10.79,robust,1,0.4,20,,1082.64
DyF-ZTL_baseline,96.17,95.98,83.68,89.0,0.66,5.08,sensitivity,0,0.4,20,baseline,912.49
DyF-ZTL,96.0,90.06,84.34,85.89,0.94,4.17,robust,1,0.4,20,,955.99
DyF-ZTL,96.42,97.5,84.92,90.23,0.59,4.91,robust,2,0.4,20,,955.22
DyF-ZTL,96.0,90.06,84.34,85.89,0.94,4.17,robust,1,0.4,20,,933.74
DyF-ZTL_alpha=0.25,95.32,86.25,85.77,84.13,1.4,3.54,sensitivity,1,0.2,20,alpha=0.25,926.62
Krum,89.07,81.09,72.08,70.02,2.46,10.68,robust,1,0.4,20,,657.46
Krum,95.3,83.69,72.35,77.15,1.16,4.61,robust,2,0.4,20,,652.32
Krum,89.07,81.09,72.08,70.02,2.46,10.68,robust,1,0.4,20,,638.22
MultiKrum,95.32,88.75,83.53,85.09,1.23,4.25,robust,1,0.4,20,,642.98
DyF-ZTL_alpha=1.0,94.36,82.12,85.82,80.18,1.86,3.46,sensitivity,1,0.2,20,alpha=1.0,874.48
MultiKrum,94.45,94.59,77.58,83.84,0.95,7.16,robust,2,0.4,20,,653.2
MultiKrum,95.32,88.75,83.53,85.09,1.23,4.25,robust,1,0.4,20,,639.94
FedAvg,93.98,75.46,86.48,73.83,2.1,3.1,main,7,0.0,100,,2855.52
Median,93.64,80.23,84.26,78.48,1.82,4.25,robust,1,0.4,20,,651.02
Median,81.23,74.66,65.08,59.66,2.92,5.79,robust,2,0.4,20,,672.61
Median,93.64,80.23,84.26,78.48,1.82,4.25,robust,1,0.4,20,,660.28
DyF-ZTL_alpha=1.5,94.36,82.12,85.82,80.18,1.86,3.46,sensitivity,1,0.2,20,alpha=1.5,895.59
TrimmedMean,62.56,64.57,65.8,50.66,6.47,33.38,robust,1,0.4,20,,668.92
TrimmedMean,83.09,76.29,67.49,64.29,2.49,7.08,robust,2,0.4,20,,678.07
TrimmedMean,62.56,64.57,65.8,50.66,6.47,33.38,robust,1,0.4,20,,665.45
DyF-ZTL_decay_factor=0.1,94.36,82.12,85.82,80.18,1.86,3.46,sensitivity,1,0.2,20,decay_factor=0.1,910.82
FLTrust,95.7,97.83,81.09,87.9,0.7,5.9,robust,1,0.4,20,,670.68
FLTrust,95.7,97.83,81.09,87.9,0.7,5.9,robust,1,0.4,20,,666.78
FLTrust,95.85,97.61,81.77,88.24,0.67,5.76,robust,2,0.4,20,,680.57
FedAvg,36.96,37.42,34.81,29.64,10.79,59.54,robust,1,0.5,20,,665.66
DyF-ZTL_decay_factor=0.4,94.36,82.12,85.82,80.18,1.86,3.46,sensitivity,1,0.2,20,decay_factor=0.4,911.77
FedAvg,36.96,37.42,34.81,29.64,10.79,59.54,robust,1,0.5,20,,674.43
FedAvg,39.48,37.42,31.38,26.96,9.75,59.1,robust,2,0.5,20,,690.25
FedProx,33.12,44.67,35.43,31.42,10.88,69.67,robust,1,0.5,20,,1089.76
